Language_area	Surname_Name	Pseudonyms	Year_Birth	Year_Death	Nationality	Gender	Journals
DE	[Unknown]	Chauve-Souris	Missing	Missing	Missing	Missing	NU
DE	Alegiani, Conte	NONE	Missing	Missing	Missing	M	GT
DE	Andertann, Hedwig	NONE	Missing	Missing	Missing	F	GT
DE	Andres, Stefan	NONE	1906	1970	DE	M	WA
DE	Arendt, Erich	NONE	1903	1984	DE	M	ME
DE	Arendt, Hannah	NONE	1906	1975	DE; US	F	MO
DE	Aron, Edith	NONE	1923	2020	DE	F	MO
DE	Baader, Bernhard	NONE	1931	Missing	Missing	M	MO
DE	Bachmann, Hellmuth	NONE	Missing	Missing	Missing	M	NU
DE	Bachmann, Ingeborg	NONE	1926	1976	AT	F	ME
DE	Baldus, Alexander	NONE	1900	1971	DE	M	GT
DE	Barany, Otto	NONE	1878	1967	AT	M	NU
DE	Baudisch, Paul	NONE	1899	1977	AT	M	MO
DE	Baumgardt, Ernst	NONE	Missing	Missing	Missing	M	UM
DE	Baumgart, Hildegard	Baumgart, Hille	1929	Missing	Missing	F	ME
DE	Baumhauer, Otto	NONE	Missing	Missing	Missing	M	MO
DE	Beck, Heinrich	Beck, Enrique	1904	1974	DE; CH	M	MO
DE	Becker, Franziska	Becker, Rolly	1908	1991	DE	F	MO
DE	Beer, Arthur	NONE	1900	1980	DE	M	NU
DE	Benda, Annelies von	NONE	Missing	Missing	Missing	F	MO
DE	Bense, Max	NONE	1910	1990	DE	M	ME
DE	Benton, José Antonio	Elsas, Hans Gustav; Gaupp-Turgis, Helmut	1894	1986	DE	M	ME; WA
DE	Berisch, Karl	NONE	Missing	Missing	Missing	M	MO
DE	Bertsch, Trudel	NONE	Missing	Missing	Missing	F	GT
DE	Birnbaum, Charlotte	Birnbaum, Lotte	1900	1981	DE	F	ME; GT
DE	Blumenthal, Otto	Bental, Oded	Missing	Missing	Missing	M	NU
DE	Bochow-Blüthgen, Hansi	Wiesner, Lore	1897	1983	DE	Missing	MO
DE	Bock, Werner	NONE	1893	1962	DE	M	ME
DE	Bode, Margrit	NONE	Missing	Missing	Missing	F	MO
DE	Bodeck, Hermann	NONE	1893	1966	DE	M	GT
DE	Boehlich, Walter	NONE	1921	2006	DE	M	ME
DE	Bondy, François	NONE	1915	2003	CH	M	MO
DE	Bondy, Friedrich	Bondy, Fritz; Scarpi, N.O.	1888	1980	AT; CH	M	MO
DE	Bonin, Tabitha von	NONE	1893	1963	DE	F	ME
DE	Borch, Herbert von	NONE	1909	2003	DE	M	MO
DE	Borchers, Elisabeth	NONE	1926	2013	DE	F	ME
DE	Böschenstein, Bernhard	NONE	1931	2019	CH	M	GT
DE	Boveri, Margret	NONE	1900	1975	DE	F	MO
DE	Braem, H.	Braem, Helmut M.	1922	1977	DE	M	ME
DE	Brands, Horst Wilfrid	NONE	1922	1998	DE	M	MO
DE	Brenner, Hans Georg	NONE	1903	1961	DE	M	WA
DE	Briessen, Fritz van	NONE	1906	1987	DE	M	MO
DE	Broemser, Hans	NONE	1909	Missing	DE	M	GT; NU
DE	Brońska-Pampuch, Wanda	Burmeister, Alfred	1911	1972	DE; PL	F	ME
DE	Bukofzer, Werner	NONE	1903	1985	DE	M	GT
DE	Burger, Karl	NONE	Missing	Missing	Missing	M	NU
DE	Buri, Friedrich W.	Wongtschowski, Adolf Friedrich (birth name)	1919	1999	DE	M	ME
DE	Burschell, Friedrich	NONE	1889	1970	DE	M	NU
DE	Cairncross, J.	NONE	1913?	1995	GB	M	NU
DE	Carlsson, Anni	NONE	1911	2001	DE	F	ME; NU
DE	Carlsson, Maria	NONE	1937	Missing	DE	F	MO
DE	Cassirer, Eva	NONE	1920	2009	DE	F	MO
DE	Celan, Paul	Antschel, Paul	1920	1970	RO	M	ME
DE	Cerny, Vera	NONE	Missing	Missing	Missing	F	MO
DE	Claes, A.	Gehlhoff-Claes, Astrid	1928	2011	DE	F	ME
DE	Clemen, Ursula	NONE	1910	1993	DE	F	ME; MO
DE	Cohn, Hans W.	NONE	1916	2004	DE	M	NU
DE	Conitzer, Gert	Conitzer, Gerhard	1910	1983	DE	M	GT
DE	Curtius, Ernst Robert	NONE	1886	1956	DE	M	ME
DE	Curtius, Ilse	Gsottschneider, Ilse (birth name)	1907	2002	DE	F	ME
DE	Czach, Alfred	NONE	Missing	Missing	Missing	M	MO
DE	Dachauer, S.	NONE	Missing	Missing	Missing	Missing	UM
DE	Damjakob, B.	NONE	Missing	Missing	Missing	Missing	NU
DE	Dedecius, Karl	NONE	1921	2016	DE	M	ME; MO
DE	Dehio, Hanna	NONE	Missing	Missing	Missing	F	MO
